Empresa,ecopetrol sa,mansarovar energy colombia ltd,occidental de colombia inc,parex resources colombia,lewis energy colombia,union temporal omega energy,cepsa colombia sa cepcolsa,equion energia ltd,perenco colombia limited,colombia energy development,dcx sas,hocol sa,emerald energy de colombia plc,petroleos sudamericanos,frontera energy,verano energy (barbados) limited,new granada energy co,canacol energy colombia sas,cne oil and gas sas,grupo c&c energia (barbados) sucursal colombia,interoil colombia exploration and production,las quinchas resource corp,oiru corporation,vetra exploracion y produccion colombia sas,geopark colombia pn sa,pacific stratus energy,tabasco oil company,gran tierra energy colombia ltd,petroleos del norte sa,union temporal midas,conocophillips colombia ventures limited,geoproduction oil & gas company,cinco ranch petroleum colombia inc sucursal colombia,ongc videsh limited,tecpetrol colombia sas,bc exploracion y produccion de hidrocarburos sl,hupecol llc,iberoamericana de hidrocarburos cq exploracion y produccion sas,wattle petroleum company sas,amerisur exploracion colombia,gas petroleo y derivados de colombia sas petrocolombia sas,petrosantander (colombia) inc,kappa resources colombia ltd,ecopetrol,sogomy energy,ecopetrol llanos,meta petroleum,alange energy,petrominerales colombia ltd,nikoil energy corp,cepsa colombia sa,p1 energy delta corp,well logging,petrotesting colombia sa,santa maria petroleum inc,sipetrol sa,union temporal moriche ( pacific stratus energy),exxon mobil,petropuli ltda,union temporal ii&b,compañia operadora petrocolombia sas copp,consorcio campos de produccion,turkish petroleum international company,maurel & prom colombia bv,panatlantic colombia ltd sucursal en colombia,ingenieria construcciones y equipos conequipos ing sas,comtrol colombia sa,omniaenergy inc sucursal colombia en reorganizacion,carrao energy sa sucursal colomiba,lagosur petroleum colombia inc sucursal colombia,tpl colombia ltd sucursal colombia,invepetrol limited colombia,petroleos colombianos sa,"suelopetrol, ca sucursal colombia",c&c energia,cepcolsa,petrobras colombia limited,union temporal mocan sas,petrolifera,omega energy colombia,drilling and workover services ltda,clean energy resources sa,mompos oil company inc,union temporal petrocaribe sa,nct energy group,copp sa,petrolco sa,union temporal moriche (pacific stratus energy),union temporal ijp,ut mocam
Enero_2013,365329.3548387097,36771.645161290326,69708.41935483871,14998.580645161292,807.9677419354839,1780.322580645161,0,42165.93548387097,18169.290322580648,1429.225806451613,0,22081.677419354837,7348.225806451612,0,0,0,277002.12903225806,9796.677419354837,0,0,2121.838709677419,0,0,14796.935483870966,5538.903225806453,3763.0,0.0,23575.709677419352,1936.3548387096778,34.09677419354838,0,0.0,0,0.0,957.741935483871,0,1721.2903225806444,0,0,2605.290322580645,0,3536.5806451612907,0,0,273.741935483871,0,0,6188.0,17570.0,0,0,1590.032258064516,2.387096774193548,0,0,0,0,0,0,494.3548387096774,0,48.38709677419355,0,1146.6129032258066,0,0,0,0,0,0,0,0,0,0,11896.516129032256,21583.064516129038,24681.612903225803,11.67741935483871,0.0,0.0,80.54838709677419,464.5806451612903,20.32258064516129,707.6129032258066,474.483870967742,20.806451612903224,18.80645161290322,0.0,66.45161290322581,0
Febrero_2013,371357.0,36981.49999999999,45870.82142857144,16291.535714285714,865.6428571428571,1706.607142857143,0,40779.89285714286,17467.14285714286,1439.7857142857142,0,21278.178571428565,7047.214285714285,0,0,0,274808.5714285714,10748.285714285716,0,0,2160.8214285714294,0,0,14575.5,5191.785714285715,3489.6785714285716,0.0,24686.642857142855,1919.5,30.10714285714286,0,0.0,0,0.0,843.5714285714286,0,1778.4642857142858,0,0,4104.25,0,3570.8571428571427,0,0,725.2857142857142,0,0,7529.178571428572,17188.678571428572,0,0,1345.642857142857,1.5,0,0,0,0,0,0,377.5357142857143,0,57.67857142857144,0,1049.6428571428573,0,0,0,0,0,0,0,0,0,0,11953.714285714286,21923.214285714283,24691.42857142857,9.535714285714286,0.0,0.0,72.71428571428571,330.25,21.39285714285714,654.2142857142858,425.9285714285714,20.85714285714286,18.67857142857143,0.0,65.0,0
Marzo_2013,366871.2580645162,38727.967741935485,64380.83870967742,15553.580645161292,932.4193548387096,1644.7741935483868,0,42502.93548387097,17791.03225806451,1378.3870967741934,0,20912.129032258064,5543.516129032258,0,0,0,276613.6129032258,11494.612903225805,0,0,2169.548387096774,0,0,12897.774193548386,6481.419354838711,3217.5483870967746,40.64516129032258,25438.322580645163,1791.8064516129036,28.87096774193548,0,0.0,0,0.0,906.258064516129,0,2013.8387096774197,0,0,4016.6129032258063,0,3501.6451612903215,0,0,1065.483870967742,0,0,7519.129032258065,16316.483870967742,0,0,1091.903225806452,1.290322580645161,0,0,0,0,0,0,340.0,0,52.35483870967742,0,1056.7741935483875,0,0,0,0,0,0,0,0,0,0,11654.387096774193,21819.225806451614,23186.064516129034,11.03225806451613,0.0,0.0,74.3225806451613,486.6774193548387,20.64516129032258,633.6451612903227,388.5483870967742,20.03225806451613,17.93548387096774,0.0,65.09677419354838,0
Abril_2013,350260.26666666666,39013.66666666667,73185.40000000002,15449.433333333332,1480.6000000000001,1588.8,0,41144.33333333333,17371.0,1222.2333333333333,0,20824.233333333326,7952.4333333333325,0,0,0,278344.1,10014.9,0,0,2037.5000000000002,0,0,15645.6,7017.766666666666,3232.733333333333,11.46666666666667,24656.766666666663,1799.4,27.2,0,0.0,0,18.0,740.4333333333334,0,1872.0999999999995,0,0,4203.433333333333,0,3530.5333333333338,0,0,938.4666666666667,0,0,8557.733333333335,16355.466666666669,0,0,2770.9000000000005,3.066666666666667,0,0,0,0,0,0,435.7666666666667,0,47.3,0,1112.2000000000003,0,0,0,0,0,0,0,0,0,0,11826.4,21851.433333333334,23080.766666666674,10.96666666666667,0.0,0.0,68.73333333333333,475.7333333333333,24.16666666666667,676.4333333333333,353.7,20.3,17.56666666666667,52.83333333333333,62.16666666666666,0
Mayo_2013,355926.1935483871,38163.3870967742,72298.80645161291,16031.129032258063,1349.0645161290322,1540.4193548387093,0,38688.32258064517,16608.774193548386,1120.774193548387,0,21098.677419354837,7002.774193548386,0,0,0,279714.129032258,10730.645161290324,0,0,2064.741935483871,0,0,18329.709677419356,7038.064516129032,3737.4516129032263,50.87096774193548,24856.774193548383,1820.612903225806,20.09677419354839,0,0.0,0,0.0,617.5806451612904,0,2357.41935483871,0,0,4208.741935483871,0,3516.935483870967,0,0,1063.9032258064517,0,0,9385.322580645163,16489.129032258064,0,0,3325.4516129032254,1.419354838709677,0,0,0,0,0,0,363.80645161290323,0,48.90322580645162,0,1145.1935483870968,0,0,0,0,0,0,0,0,0,0,11730.67741935484,22413.516129032258,22110.903225806458,10.48387096774194,8.677419354838708,6.064516129032258,72.64516129032258,415.6451612903226,25.03225806451613,557.7096774193548,317.7741935483871,20.19354838709678,15.61290322580645,78.70967741935483,64.38709677419355,0
Junio_2013,355329.26666666666,37163.26666666667,29854.93333333333,17248.466666666664,1310.1666666666665,1560.1000000000004,0,41852.36666666667,16342.466666666667,1209.3333333333333,0,20407.9,7653.833333333334,0,0,0,279693.6,10578.766666666666,0,0,2117.2666666666664,0,0,16669.9,8203.400000000001,3410.333333333333,59.86666666666667,25724.03333333334,1601.7333333333336,17.56666666666667,0,0.0,0,1.533333333333333,606.0333333333333,0,2597.0666666666666,0,0,3200.3,0,3516.733333333333,0,0,1151.833333333333,0,0,9288.099999999999,16977.966666666664,0,0,2930.1666666666665,2.566666666666667,0,0,0,0,0,0,124.4666666666667,0,48.63333333333334,0,1185.9,0,0,0,0,0,0,0,0,0,0,12888.333333333334,22581.56666666667,21784.633333333328,10.9,11.2,0.0,74.4,263.4,19.7,558.1,293.8333333333333,18.2,12.13333333333333,3.6333333333333337,64.53333333333333,0
Julio_2013,363039.0,36632.51612903226,63584.61290322581,16487.32258064516,1328.6451612903224,1489.451612903226,0,39003.806451612894,16497.032258064515,826.3870967741935,0,19948.322580645156,7094.838709677419,0,0,0,279247.87096774194,10842.290322580646,0,0,2136.7419354838707,0,0,16982.25806451613,10161.999999999998,3600.5161290322576,118.6774193548387,26560.096774193546,1711.3870967741943,310.9032258064516,0,0.0,0,0.0,1074.5483870967741,0,2683.4193548387098,0,0,6394.451612903225,0,3572.8387096774195,0,0,1215.9032258064512,0,0,9121.354838709678,18849.193548387095,0,0,2044.4516129032254,3.096774193548387,0,0,0,0,0,0,53.41935483870968,0,45.51612903225806,0,1095.354838709678,0,0,0,0,0,0,0,0,0,0,13377.387096774193,22673.548387096773,21883.354838709678,11.06451612903226,1.516129032258065,0.0,47.0,0.0,4.451612903225806,577.6451612903227,272.6129032258065,18.90322580645161,18.35483870967742,0.0,64.74193548387096,0
Agosto_2013,371041.1612903226,37252.32258064517,72364.45161290324,17176.903225806454,1203.0,1422.2258064516125,0,37326.54838709677,16690.354838709674,1070.225806451613,0,20912.87096774194,5912.677419354838,0,0,0,282601.064516129,9866.838709677419,0,0,2325.9032258064517,0,0,12802.0,8792.806451612902,3615.548387096774,18.48387096774194,25741.67741935484,1686.451612903226,87.9032258064516,0,0.0,0,0.0,1605.548387096774,0,4561.612903225807,0,0,4477.419354838709,0,3575.9354838709683,0,0,1393.935483870968,0,0,8433.483870967742,19911.322580645163,0,0,1283.9354838709678,1.387096774193548,0,0,0,0,0,0,223.80645161290323,0,44.54838709677419,0,1112.677419354838,0,0,0,0,0,0,0,0,0,0,13292.225806451614,21615.032258064515,20871.35483870968,10.2258064516129,0.0,0.0,0.0,1.225806451612903,27.06451612903226,673.483870967742,258.1612903225807,18.03225806451613,17.16129032258064,0.0,60.64516129032258,0
Septiembre_2013,352020.43333333335,38723.933333333334,61698.29999999999,18285.233333333337,1270.1666666666665,1264.7333333333336,0,37836.299999999996,16724.833333333332,1036.1,0,21339.766666666663,3367.8333333333335,0,0,0,278634.4,9611.0,0,0,2401.8333333333326,0,0,12822.033333333333,9563.5,3594.8333333333335,0.0,24084.06666666666,1572.7333333333336,1424.6999999999996,0,0.0,0,0.0,2065.6666666666665,0,5571.499999999999,0,0,3874.866666666667,0,3535.0,0,0,1339.9666666666667,0,0,9319.833333333334,18544.0,0,0,1453.0333333333333,1.033333333333333,0,0,0,0,0,0,37.93333333333333,0,50.43333333333333,0,1065.1333333333332,0,0,0,0,0,0,0,0,0,0,12842.5,21949.033333333333,19956.26666666667,9.466666666666667,0.0,0.0,0.0,38.56666666666667,22.2,490.1,243.6333333333333,18.66666666666667,16.5,0.0,58.63333333333333,0
Octubre_2013,351465.3225806452,39193.258064516136,38017.096774193546,18578.54838709678,1508.967741935484,895.7096774193549,0,36885.419354838705,19065.612903225807,1026.4193548387098,0,21198.70967741936,5121.419354838709,0,0,0,275373.4193548387,10513.774193548388,0,0,2247.6774193548385,0,0,17822.838709677417,10642.451612903225,3710.870967741935,0.0,24481.612903225803,1543.3548387096778,2464.2580645161293,0,0.0,0,0.0,2021.4193548387098,0,5563.129032258064,0,0,6589.838709677419,0,3711.58064516129,0,0,1382.6129032258068,0,0,9255.290322580644,19389.12903225807,0,0,1047.032258064516,3.032258064516129,0,0,0,0,0,0,7.741935483870968,0,46.90322580645161,0,913.4193548387098,0,0,0,0,0,0,0,0,0,0,13001.516129032258,21771.999999999996,18795.516129032254,10.80645161290323,0.0,0.0,0.0,0.0,13.70967741935484,609.8387096774194,230.0645161290323,17.64516129032258,14.96774193548387,52.41935483870967,59.06451612903226,0
